Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG01073,0.5305110619763374,-0.6657157363052666,-0.8400966078845323,AMR,PUR,Puerto Rican in Puerto Rico
HG00263,0.6022867249559741,-1.5535979869808445,0.19459668357411225,EUR,GBR,British in England and Scotland
HG00097,0.5440149602796733,-1.4991572776055675,-0.5646659859671559,EUR,GBR,British in England and Scotland
HG00099,0.6214016546465368,-1.3362284033906364,0.3519005609620248,EUR,GBR,British in England and Scotland
HG00100,0.6107630098938355,-1.2085709820195856,-0.49622764556918203,EUR,GBR,British in England and Scotland
HG00101,0.7088324204458084,-1.4100222907178015,-0.422365569632236,EUR,GBR,British in England and Scotland
HG00102,0.5625815966899871,-1.3644545963417831,-0.3178313713601308,EUR,GBR,British in England and Scotland
HG00103,0.6059696477955728,-1.4529722690146598,-0.1547404188670773,EUR,GBR,British in England and Scotland
HG00105,0.5578831528100261,-1.434804367820172,-0.055803217970786335,EUR,GBR,British in England and Scotland
HG00106,0.6876730808796558,-1.0496732163383855,0.034004302085630315,EUR,GBR,British in England and Scotland
HG00107,0.6982825878468143,-1.4089929752619803,0.0013461876822160315,EUR,GBR,British in England and Scotland
HG00108,0.5652535498668934,-1.2085158240067324,0.11290398421413993,EUR,GBR,British in England and Scotland
HG00109,0.5227715592232486,-1.282019621324633,-0.09615748003393428,EUR,GBR,British in England and Scotland
HG00110,0.4728393744181066,-1.4398411419906991,-0.06187802360096865,EUR,GBR,British in England and Scotland
HG00111,0.5437244727270205,-1.3946383124245112,-0.6177518347370605,EUR,GBR,British in England and Scotland
HG00112,0.5459893860313714,-1.1593388614074875,-0.6737889819008077,EUR,GBR,British in England and Scotland
HG00113,0.6053294735518981,-1.1149791927465895,-0.6212981471111293,EUR,GBR,British in England and Scotland
HG00114,0.6244055159028301,-1.3236180013112329,0.03048120947927486,EUR,GBR,British in England and Scotland
HG00115,0.5132294827036105,-1.281893363431553,-0.04180180670596522,EUR,GBR,British in England and Scotland
HG00116,0.4863496241428524,-1.2640299505570658,0.0805856063131483,EUR,GBR,British in England and Scotland
HG00117,0.6070193955392486,-1.2988905505158257,-0.5492680092651621,EUR,GBR,British in England and Scotland
HG00118,0.5165371415046124,-1.3560507701002438,0.1116903072605324,EUR,GBR,British in England and Scotland
HG00119,0.6108226270633385,-1.2959780099591631,-0.5266089230173068,EUR,GBR,British in England and Scotland
HG00120,0.5857101269298173,-1.1758764202343053,-0.04449627975636941,EUR,GBR,British in England and Scotland
HG00121,0.5225670966116129,-1.2181406521869955,-0.07253521430678672,EUR,GBR,British in England and Scotland
HG00122,0.5123522465024491,-1.1966850057415372,-0.45789005368454905,EUR,GBR,British in England and Scotland
HG00123,0.6187836354089712,-1.2138692876850372,0.22406348985121646,EUR,GBR,British in England and Scotland
HG00125,0.6105628518222781,-1.3239295380232958,-0.16760275865285873,EUR,GBR,British in England and Scotland
HG00126,0.6322154290384762,-1.6455444050878285,-0.13019649071605835,EUR,GBR,British in England and Scotland
HG00127,0.5486811756999332,-1.3041046832710694,0.04847634571596434,EUR,GBR,British in England and Scotland
HG00128,0.6354152994550424,-1.3464281994674132,0.17683144083293978,EUR,GBR,British in England and Scotland
HG00129,0.5002370297932877,-1.1329794576435064,-0.3438427368631206,EUR,GBR,British in England and Scotland
HG00130,0.6825399187510273,-1.1455075795235434,-0.3682866726897881,EUR,GBR,British in England and Scotland
HG00131,0.6405061427439532,-1.4520223432568362,-0.2252057531260012,EUR,GBR,British in England and Scotland
HG00132,0.4930207062779611,-1.729368797640903,-0.16936271004015294,EUR,GBR,British in England and Scotland
HG00133,0.6559223925137151,-1.1617882166281692,-0.7017044056916644,EUR,GBR,British in England and Scotland
